Timestamp,Participant ID,Facial Emotion,Facial Confidence,Speech Emotion,Speech Confidence
2025-05-14 10:47:45,12,neutral,97.9375422000885,ang,0.0
2025-05-14 10:47:46,12,neutral,0.0,ang,0.0
2025-05-14 10:47:48,12,sad,0.0,ang,0.0
2025-05-14 10:47:49,12,neutral,0.0,ang,0.0
2025-05-14 10:47:50,12,fear,95.47308683395386,ang,0.0
2025-05-14 10:47:51,12,fear,87.98693871342405,ang,0.0
2025-05-14 10:47:52,12,sad,0.0,ang,0.0
2025-05-14 10:47:54,12,angry,0.0,ang,0.0
2025-05-14 10:47:55,12,neutral,0.0,ang,0.0
2025-05-14 10:47:56,12,neutral,0.0,ang,0.0
2025-05-14 10:47:58,12,sad,88.43852281570435,ang,0.991468071937561
2025-05-14 10:47:59,12,neutral,70.64158916473389,ang,0.0
2025-05-14 10:48:01,12,neutral,70.64158916473389,ang,0.6688992977142334
2025-05-14 10:48:02,12,neutral,70.64158916473389,ang,0.0
2025-05-14 10:48:03,12,neutral,70.64158916473389,ang,0.0
2025-05-14 10:48:04,12,neutral,70.64158916473389,ang,0.0
2025-05-14 10:48:05,12,neutral,70.64158916473389,ang,0.0
2025-05-14 10:48:07,12,neutral,70.64158916473389,ang,0.9052334427833557
2025-05-14 10:48:08,12,fear,99.39101934432983,ang,0.0
2025-05-14 10:48:10,12,fear,0.0,ang,0.997437596321106
2025-05-14 10:48:11,12,sad,0.0,ang,0.0
2025-05-14 10:48:12,12,sad,41.52459800243378,ang,0.0
2025-05-14 10:48:13,12,sad,41.52459800243378,ang,0.0
2025-05-14 10:48:14,12,happy,95.38782835006714,ang,0.0
2025-05-14 10:48:16,12,happy,99.68915585408737,ang,0.9214439988136292
2025-05-14 10:48:17,12,happy,99.0277349369368,ang,0.0
2025-05-14 10:48:18,12,happy,99.37496192753768,ang,0.0
2025-05-14 10:48:19,12,happy,0.0,ang,0.0
2025-05-14 10:48:20,12,neutral,0.0,ang,0.0
2025-05-14 10:48:22,12,happy,57.7402864539794,ang,0.9816330671310425
2025-05-14 10:48:23,12,sad,90.62539879235023,sad,0.0
2025-05-14 10:48:25,12,happy,91.78122282028198,sad,0.9630969166755676
2025-05-14 10:48:26,12,happy,98.27579855918884,hap,0.0
2025-05-14 10:48:27,12,happy,90.69088808406734,hap,0.0
2025-05-14 10:48:28,12,happy,0.0,hap,0.0
2025-05-14 10:48:29,12,neutral,0.0,hap,0.0
2025-05-14 10:48:31,12,happy,85.0420218756225,hap,0.979640781879425
2025-05-14 10:48:32,12,neutral,68.37687869347587,hap,0.0
2025-05-14 10:48:34,12,fear,0.0,hap,0.8083239197731018
2025-05-14 10:48:35,12,neutral,0.0,hap,0.0
2025-05-14 10:48:37,12,neutral,51.19611620903015,hap,0.8951422572135925
2025-05-14 10:48:38,12,neutral,44.15940046310425,hap,0.0
2025-05-14 10:48:40,12,neutral,0.0,hap,0.7611454129219055
2025-05-14 10:48:41,12,happy,0.0,hap,0.0
2025-05-14 10:48:43,12,sad,61.2148381003641,hap,0.7150462865829468
2025-05-14 10:48:44,12,neutral,37.75099515914917,sad,0.0
2025-05-14 10:48:45,12,sad,68.81380081176758,sad,0.0
2025-05-14 10:48:46,12,neutral,0.0,sad,0.0
2025-05-14 10:48:47,12,neutral,0.0,sad,0.0
2025-05-14 10:48:49,12,neutral,87.87685632705688,sad,0.36162129044532776
2025-05-14 10:48:50,12,neutral,96.21960520744324,hap,0.0
2025-05-14 10:48:52,12,neutral,0.0,hap,0.6562052369117737
2025-05-14 10:48:53,12,neutral,0.0,ang,0.0
2025-05-14 10:48:55,12,neutral,87.35758066177368,ang,0.6602783203125
2025-05-14 10:48:56,12,sad,61.30781038906451,ang,0.0
2025-05-14 10:48:57,12,neutral,80.80126643180847,ang,0.0
2025-05-14 10:48:58,12,sad,45.52011761189208,ang,0.0
2025-05-14 10:48:59,12,neutral,0.0,ang,0.0
2025-05-14 10:49:01,12,sad,0.0,ang,0.9376716017723083
2025-05-14 10:49:02,12,sad,0.0,ang,0.0
2025-05-14 10:49:03,12,sad,90.59765338897705,ang,0.0
2025-05-14 10:49:04,12,disgust,0.0,ang,0.0
2025-05-14 10:49:05,12,sad,66.68957471847534,ang,0.0
2025-05-14 10:49:07,12,fear,71.43758961186347,ang,0.5380958914756775
2025-05-14 10:49:08,12,fear,62.3224675655365,ang,0.0
2025-05-14 10:49:10,12,sad,0.0,ang,0.9873400330543518
2025-05-14 10:49:11,12,neutral,0.0,ang,0.0
2025-05-14 10:49:13,12,sad,84.87557082626645,ang,0.9227076172828674
2025-05-14 10:49:14,12,angry,38.54703903198242,ang,0.0
2025-05-14 10:49:15,12,fear,42.17789173126221,ang,0.0
2025-05-14 10:49:16,12,sad,0.0,ang,0.0
2025-05-14 10:49:17,12,sad,91.70773029327393,ang,0.0
2025-05-14 10:49:19,12,sad,81.70065879821777,ang,0.9290703535079956
2025-05-14 10:49:20,12,sad,95.01823782920837,hap,0.0
2025-05-14 10:49:21,12,sad,88.10383081436157,hap,0.0
2025-05-14 10:49:22,12,sad,97.21952113872514,hap,0.0
2025-05-14 10:49:23,12,happy,99.27773475646973,hap,0.0
2025-05-14 10:49:25,12,happy,99.99682307224411,hap,0.9012494087219238
2025-05-14 10:49:26,12,fear,54.26830002447367,hap,0.0
2025-05-14 10:49:28,12,fear,0.0,hap,0.8740710020065308
2025-05-14 10:49:29,12,sad,0.0,hap,0.0
2025-05-14 10:49:31,12,happy,71.33917808532715,hap,0.5849107503890991
2025-05-14 10:49:32,12,fear,41.7933851480484,ang,0.0
2025-05-14 10:49:33,12,happy,99.30517673492432,ang,0.0
2025-05-14 10:49:34,12,sad,0.0,ang,0.0
2025-05-14 10:49:35,12,fear,0.0,ang,0.0
2025-05-14 10:49:37,12,happy,62.37937808036804,ang,0.6262925863265991
2025-05-14 10:49:38,12,neutral,31.262031197547913,hap,0.0
